year;month;day;hour;subject;subjects_number;predicate;object
2019;5;19;0;Collembola;1;co-occurs;root growth region
2019;5;19;0;Rhabdura;1;co-occurs;root growth region
2019;5;19;0;Isopoda;1;present;
2019;5;19;6;Acari;1;present;
2019;5;19;6;Rhabdura;1;co-occurs;root growth region
2019;5;19;6;Acari;1;co-occurs;root growth region
2019;5;19;12;Rhabdura;1;present;
2019;5;19;12;Collembola;1;co-occurs;root growth region
2019;5;19;12;Enchytraeidae;1;present;
2019;5;19;18;Rhabdura;1;present;
2019;5;19;18;Symphyla;1;co-occurs;root growth region
2019;5;20;0;Symphyla;1;co-occurs;root growth region
2019;5;20;0;Enchytraeidae;1;present;
2019;5;20;6;Enchytraeidae;2;present;
2019;5;20;6;Acari;1;co-occurs;root growth region
2019;5;20;6;Rhabdura;1;co-occurs;root growth region
2019;5;20;12;Acari;1;present;
2019;5;20;12;Symphyla;1;present;
2019;5;20;12;Rhabdura;1;present;
2019;5;20;18;Acari;1;present;
2019;5;20;18;Enchytraeidae;1;present;
2019;5;20;18;Rhabdura;1;co-occurs;root growth region
2019;5;21;0;Acari;1;co-occurs;root growth region
2019;5;21;0;Rhabdura;1;co-occurs;root growth region
2019;5;21;6;Solenopsis;6;co-occurs;root growth region
2019;5;21;6;Rhabdura;1;co-occurs;root growth region
2019;5;21;6;Rhabdura;1;present;
2019;5;21;12;Solenopsis;10;co-occurs;root growth region
2019;5;21;12;Acari;1;present;
2019;5;21;18;Solenopsis;2;co-occurs;root growth region
2019;5;21;18;Enchytraeidae;1;present;
2019;5;22;0;Rhabdura;1;present;
2019;5;22;0;Rhabdura;1;co-occurs;root growth region
2019;5;22;0;Solenopsis;4;co-occurs;root growth region
2019;5;22;0;Solenopsis;1;present;
2019;5;22;6;Solenopsis;6;co-occurs;root growth region
2019;5;22;6;Rhabdura;1;present;
2019;5;22;12;Solenopsis;3;co-occurs;root growth region
2019;5;22;12;Rhabdura;1;co-occurs;root growth region
2019;5;22;12;Rhabdura;1;present;
2019;5;22;18;Rhabdura;1;present;
2019;5;22;18;Rhabdura;1;co-occurs;root growth region
2019;5;22;18;Solenopsis;2;co-occurs;root growth region
2019;5;23;0;Solenopsis;1;present;
2019;5;23;0;Rhabdura;1;present;
2019;5;23;0;Solenopsis;2;co-occurs;root growth region
2019;5;23;0;Rhabdura;1;co-occurs;root growth region
2019;5;23;6;Enchytraeidae;2;present;
2019;5;23;6;Rhabdura;1;present;
2019;5;23;6;Solenopsis;2;co-occurs;root growth region
2019;5;23;6;Solenopsis;1;present;
2019;5;23;12;Solenopsis;4;co-occurs;root growth region
2019;5;23;18;Symphyla;1;present;
2019;5;23;18;Symphyla;1;co-occurs;root growth region
2019;5;24;0;Solenopsis;1;co-occurs;root growth region
2019;5;24;0;Rhabdura;2;present;
2019;5;24;0;Enchytraeidae;1;present;
2019;5;24;6;Acari;1;present;
2019;5;24;6;Rhabdura;2;present;
2019;5;24;6;Rhabdura;1;co-occurs;root growth region
2019;5;24;12;Acari;3;co-occurs;root growth region
2019;5;24;12;Rhabdura;1;co-occurs;root growth region
2019;5;24;12;Rhabdura;1;present;
2019;5;24;12;Symphyla;1;present;
2019;5;24;18;Rhabdura;2;present;
2019;5;24;18;Acari;1;co-occurs;root growth region
2019;5;25;0;Acari;2;co-occurs;root growth region
2019;5;25;0;Solenopsis;1;co-occurs;root mature region
2019;5;25;0;Rhabdura;2;present;
2019;5;25;6;Rhabdura;1;present;
2019;5;25;6;Rhabdura;1;co-occurs;root mature region
2019;5;25;6;Acari;3;co-occurs;root growth region
2019;5;25;12;Solenopsis;1;co-occurs;root growth region
2019;5;25;12;Rhabdura;2;present;
2019;5;25;18;Rhabdura;1;co-occurs;root mature region
2019;5;25;18;Acari;3;co-occurs;root growth region
2019;5;25;18;Solenopsis;1;co-occurs;root growth region
2019;5;25;18;Rhabdura;1;co-occurs;root growth region
2019;5;25;18;Rhabdura;1;present;
2019;5;26;0;Rhabdura;1;present;
2019;5;26;0;Acari;1;co-occurs;root mature region
2019;5;26;0;Rhabdura;1;co-occurs;root mature region
2019;5;26;0;Symphyla;1;co-occurs;root growth region
2019;5;26;6;Collembola;1;present;
2019;5;26;6;Acari;1;co-occurs;root mature region
2019;5;26;6;Symphyla;2;present;
2019;5;26;6;Rhabdura;2;present;
2019;5;26;12;Rhabdura;1;present;
2019;5;26;12;Symphyla;1;present;
2019;5;26;12;Symphyla;1;co-occurs;root growth region
2019;5;26;12;Enchytraeidae;1;present;
2019;5;26;18;Geophilomorpha;1;co-occurs;root growth region
2019;5;26;18;Rhabdura;4;present;
2019;5;27;0;Rhabdura;1;present;
2019;5;27;0;Symphyla;1;present;
2019;5;27;0;Geophilomorpha;1;co-occurs;root growth region
2019;5;27;6;Geophilomorpha;1;co-occurs;root growth region
2019;5;27;6;Geophilomorpha;1;present;
2019;5;27;6;Symphyla;1;co-occurs;root mature region
2019;5;27;6;Symphyla;1;co-occurs;root growth region
2019;5;27;6;Solenopsis;1;co-occurs;root growth region
2019;5;27;6;Rhabdura;1;present;
2019;5;27;12;Rhabdura;1;present;
2019;5;27;12;Acari;1;co-occurs;root mature region
2019;5;27;12;Rhabdura;1;present;
2019;5;27;12;Geophilomorpha;1;co-occurs;root growth region
2019;5;27;18;Geophilomorpha;1;co-occurs;root growth region
2019;5;27;18;Rhabdura;3;present;
2019;5;28;0;Rhabdura;1;present;
2019;5;28;0;Geophilomorpha;1;present;
2019;5;28;0;Collembola;1;present;
2019;5;28;0;Geophilomorpha;1;co-occurs;root growth region
2019;5;28;6;Geophilomorpha;1;co-occurs;root growth region
2019;5;28;6;Rhabdura;1;present;
2019;5;28;12;Rhabdura;2;present;
2019;5;28;12;Geophilomorpha;1;co-occurs;root growth region
2019;5;28;18;Geophilomorpha;1;present;
2019;5;28;18;Solenopsis;1;co-occurs;root growth region
2019;5;29;0;Collembola;1;present;
2019;5;29;0;Julida;1;co-occurs;root growth region
2019;5;29;0;Julida;1;present;
2019;5;29;6;Julida;1;co-occurs;root mature region
2019;5;29;6;Julida;1;present;
2019;5;29;6;Symphyla;1;co-occurs;root growth region
2019;5;29;12;Collembola;1;co-occurs;root growth region
2019;5;29;12;Polydesmida;1;co-occurs;root mature region
2019;5;29;12;Julida;1;co-occurs;root mature region
2019;5;29;12;Symphyla;2;present;
2019;5;29;18;Symphyla;1;present;
2019;5;29;18;Symphyla;1;co-occurs;root mature region
2019;5;29;18;Polydesmida;1;co-occurs;root mature region
2019;5;29;18;Acari;1;co-occurs;root mature region
2019;5;29;18;Rhabdura;2;present;
2019;5;30;0;Rhabdura;1;present;
2019;5;30;0;Acari;1;co-occurs;root mature region
2019;5;30;0;Symphyla;1;present;
2019;5;30;6;Symphyla;1;co-occurs;root growth region
2019;5;30;6;Acari;1;co-occurs;root growth region
2019;5;30;6;Rhabdura;1;present;
2019;5;30;12;Geophilomorpha;1;present;
2019;5;30;12;Collembola;1;present;
2019;5;30;18;Rhabdura;5;present;
2019;5;30;18;Geophilomorpha;2;present;
2019;5;30;18;Acari;1;present;
2019;5;30;18;Acari;2;co-occurs;root mature region
2019;5;30;18;Symphyla;1;co-occurs;root growth region
2019;5;31;0;Symphyla;2;present;
2019;5;31;0;Rhabdura;2;present;
2019;5;31;0;Symphyla;1;co-occurs;root growth region
2019;5;31;0;Acari;1;co-occurs;root growth region
2019;5;31;0;Acari;1;co-occurs;root mature region
2019;5;31;0;Geophilomorpha;1;present;
2019;5;31;6;Rhabdura;2;present;
2019;5;31;6;Geophilomorpha;1;co-occurs;root growth region
2019;5;31;6;Polydesmida;1;co-occurs;root mature region
2019;5;31;6;Julida;1;co-occurs;root growth region
2019;5;31;6;Symphyla;1;co-occurs;root growth region
2019;5;31;12;Rhabdura;3;present;
2019;5;31;12;Polydesmida;1;co-occurs;root growth region
2019;5;31;18;Rhabdura;1;present;
2019;5;31;18;Acari;2;co-occurs;root mature region
2019;5;31;18;Enchytraeidae;1;present;
2019;6;1;0;Solenopsis;1;present;
2019;6;1;0;Acari;4;co-occurs;root mature region
2019;6;1;0;Solenopsis;1;co-occurs;root growth region
2019;6;1;0;Rhabdura;1;co-occurs;root growth region
2019;6;1;0;Lithobiomorpha;1;co-occurs;root growth region
2019;6;1;0;Lumbricidae;1;co-occurs;
2019;6;1;0;Geophilomorpha;1;present;
2019;6;1;0;Julida;1;present;
2019;6;1;6;Lumbricidae;1;co-occurs;
2019;6;1;6;Geophilomorpha;1;present;
2019;6;1;6;Symphyla;1;present;
2019;6;1;6;Acari;3;co-occurs;root mature region
2019;6;1;6;Rhabdura;2;present;
2019;6;1;12;Rhabdura;3;present;
2019;6;1;12;Solenopsis;1;present;
2019;6;1;12;unknown;1;co-occurs;root growth region
2019;6;1;12;Acari;3;co-occurs;root mature region
2019;6;1;12;Geophilomorpha;1;present;
2019;6;1;18;unknown;1;present;
2019;6;1;18;Collembola;1;co-occurs;root mature region
2019;6;1;18;Julida;1;present;
2019;6;1;18;Rhabdura;2;present;
2019;6;1;18;Acari;3;co-occurs;root mature region
2019;6;1;18;Solenopsis;1;co-occurs;root mature region
2019;6;2;0;Rhabdura;2;present;
2019;6;2;0;Rhabdura;4;present;
2019;6;2;0;Symphyla;1;co-occurs;root growth region
2019;6;2;0;unknown;1;co-occurs;root growth region
2019;6;2;0;Acari;1;co-occurs;hypha
2019;6;2;0;Collembola;1;co-occurs;root growth region
2019;6;2;6;Rhabdura;1;present;
2019;6;2;6;Symphyla;1;co-occurs;hypha
2019;6;2;6;Symphyla;1;present;
2019;6;2;6;Rhabdura;2;present;
2019;6;2;6;Solenopsis;1;co-occurs;root mature region
2019;6;2;6;Acari;3;co-occurs;root mature region
2019;6;2;6;Collembola;1;present;
2019;6;2;12;Rhabdura;1;co-occurs;root growth region
2019;6;2;12;Rhabdura;4;present;
2019;6;2;12;Acari;1;co-occurs;root mature region
2019;6;2;12;unknown;1;present;
2019;6;2;18;Geophilomorpha;1;co-occurs;root growth region
2019;6;2;18;Collembola;1;co-occurs;root mature region
2019;6;2;18;Acari;1;co-occurs;hypha
2019;6;2;18;Rhabdura;4;present;
2019;6;2;18;Geophilomorpha;1;present;
2019;6;2;18;Solenopsis;3;co-occurs;root mature region
2019;6;2;18;Acari;1;co-occurs;root mature region
2019;6;2;18;Rhabdura;1;co-occurs;root mature region
2019;6;3;0;Symphyla;1;present;
2019;6;3;0;Rhabdura;2;present;
2019;6;3;0;Rhabdura;1;present;
2019;6;3;0;Solenopsis;1;co-occurs;root mature region
2019;6;3;0;Geophilomorpha;1;present;
2019;6;3;0;Acari;1;co-occurs;hypha
2019;6;3;6;Collembola;2;present;
2019;6;3;6;Solenopsis;2;co-occurs;
2019;6;3;6;Geophilomorpha;1;present;
2019;6;3;6;Julida;1;co-occurs;root mature region
2019;6;3;6;Solenopsis;1;co-occurs;Solenopsis
2019;6;3;6;Rhabdura;1;present;
2019;6;3;12;Rhabdura;3;present;
2019;6;3;12;Solenopsis;1;present;
2019;6;3;12;Acari;1;co-occurs;root mature region
2019;6;3;12;Geophilomorpha;1;present;
2019;6;3;12;Geophilomorpha;1;co-occurs;root growth region
2019;6;3;12;Acari;1;co-occurs;hypha
2019;6;3;18;Symphyla;1;present;
2019;6;3;18;Symphyla;1;co-occurs;root growth region
2019;6;3;18;Symphyla;1;present;
2019;6;3;18;Acari;1;co-occurs;root mature region
2019;6;4;0;Rhabdura;1;present;
2019;6;4;0;Symphyla;1;co-occurs;root growth region
2019;6;4;0;Larva;1;co-occurs;root growth region
2019;6;4;0;Collembola;1;co-occurs;root mature region
2019;6;4;0;Julida;1;present;
2019;6;4;6;Rhabdura;8;present;
2019;6;4;6;Solenopsis;1;present;
2019;6;4;6;Symphyla;1;co-occurs;root mature region
2019;6;4;6;Collembola;1;co-occurs;root mature region
2019;6;4;12;Collembola;1;co-occurs;root mature region
2019;6;4;12;Polydesmida;1;present;
2019;6;4;12;Rhabdura;2;present;
2019;6;4;12;Collembola;1;present;
2019;6;4;12;Acari;1;co-occurs;root mature region
2019;6;4;18;Rhabdura;3;present;
2019;6;4;18;Acari;1;present;
2019;6;4;18;Symphyla;1;present;
2019;6;4;18;Collembola;1;co-occurs;root growth region
2019;6;5;0;unknown;1;present;
2019;6;5;0;Lithobiomorpha;1;present;
2019;6;5;0;unknown;1;co-occurs;root growth region
2019;6;5;0;Rhabdura;2;present;
2019;6;5;6;Julida;1;co-occurs;root growth region
2019;6;5;6;Solenopsis;1;present;
2019;6;5;6;Acari;1;present;
2019;6;5;6;Rhabdura;1;present;
2019;6;5;6;Lithobiomorpha;1;present;
2019;6;5;12;Solenopsis;2;present;
2019;6;5;12;Collembola;1;co-occurs;root mature region
2019;6;5;12;Rhabdura;2;present;
2019;6;5;12;Enchytraeidae;1;present;
2019;6;5;18;Polydesmida;1;present;
2019;6;5;18;Enchytraeidae;2;co-occurs;grass root
2019;6;5;18;Collembola;2;co-occurs;root mature region
2019;6;5;18;Rhabdura;1;present;
2019;6;6;0;Acari;1;present;
2019;6;6;0;Enchytraeidae;1;co-occurs;root mature region
2019;6;6;0;Enchytraeidae;2;present;
2019;6;6;0;Rhabdura;2;present;
2019;6;6;0;Polydesmida;2;co-occurs;root mature region
2019;6;6;0;Acari;1;co-occurs;root mature region
2019;6;6;6;Enchytraeidae;3;present;
2019;6;6;6;Polydesmida;1;co-occurs;root mature region
2019;6;6;6;Enchytraeidae;1;co-occurs;root mature region
2019;6;6;6;Rhabdura;1;present;
2019;6;6;6;Solenopsis;2;co-occurs;
2019;6;6;12;Collembola;1;co-occurs;root growth region
2019;6;6;12;Enchytraeidae;1;present;
2019;6;6;12;Collembola;2;present;
2019;6;6;12;Polydesmida;1;co-occurs;root mature region
2019;6;6;12;Polydesmida;2;present;
2019;6;6;12;Acari;1;present;
2019;6;6;18;Collembola;2;present;
2019;6;6;18;Rhabdura;2;present;
2019;6;6;18;Collembola;1;co-occurs;root growth region
2019;6;7;0;Collembola;1;co-occurs;root growth region
2019;6;7;0;Rhabdura;1;present;
2019;6;7;0;Symphyla;1;present;
2019;6;7;0;Acari;1;present;
2019;6;7;0;Collembola;1;present;
2019;6;7;6;Enchytraeidae;1;present;
2019;6;7;6;Rhabdura;2;present;
2019;6;7;6;Enchytraeidae;1;co-occurs;grass root
2019;6;7;6;Collembola;1;co-occurs;root growth region
2019;6;7;12;Collembola;1;co-occurs;root growth region
2019;6;7;12;Enchytraeidae;2;present;
2019;6;7;12;Polydesmida;1;present;
2019;6;7;12;Acari;1;co-occurs;root growth region
2019;6;7;18;Rhabdura;4;present;
2019;6;7;18;Symphyla;1;co-occurs;root growth region
2019;6;7;18;Julida;1;present;
2019;6;7;18;Enchytraeidae;1;present;
2019;6;8;0;Acari;1;present;
2019;6;8;0;Symphyla;1;co-occurs;root growth region
2019;6;8;0;Rhabdura;2;present;
2019;6;8;6;Rhabdura;2;present;
2019;6;8;6;Symphyla;2;present;
2019;6;8;6;Symphyla;1;co-occurs;root growth region
2019;6;8;12;Solenopsis;2;co-occurs;root growth region
2019;6;8;12;Enchytraeidae;1;present;
2019;6;8;12;Symphyla;1;co-occurs;root growth region
2019;6;8;12;Acari;1;present;
2019;6;8;12;Geophilomorpha;1;present;
2019;6;8;12;Rhabdura;1;present;
2019;6;8;18;Rhabdura;2;present;
2019;6;8;18;Julida;1;co-occurs;root mature region
2019;6;8;18;Symphyla;1;co-occurs;root growth region
2019;6;8;18;Symphyla;1;present;
2019;6;8;18;Solenopsis;2;co-occurs;root growth region
2019;6;8;18;Collembola;1;co-occurs;root growth region
2019;6;9;0;Symphyla;1;present;
2019;6;9;0;Symphyla;1;co-occurs;root growth region
2019;6;9;0;Rhabdura;2;present;
2019;6;9;6;Polydesmida;1;co-occurs;root mature region
2019;6;9;6;Collembola;1;co-occurs;root mature region
2019;6;9;6;Rhabdura;1;co-occurs;root mature region
2019;6;9;6;Solenopsis;2;co-occurs;root growth region
2019;6;9;6;Enchytraeidae;2;co-occurs;root growth region
2019;6;9;12;Enchytraeidae;1;co-occurs;root growth region
2019;6;9;12;Solenopsis;2;co-occurs;root growth region
2019;6;9;12;Collembola;1;co-occurs;root mature region
2019;6;9;12;Symphyla;1;present;
2019;6;9;18;Rhabdura;3;present;
2019;6;9;18;Symphyla;1;present;
2019;6;9;18;Collembola;1;co-occurs;root mature region
2019;6;9;18;Acari;1;co-occurs;root mature region
2019;6;9;18;Acari;1;present;
2019;6;9;18;Symphyla;1;co-occurs;root growth region
2019;6;9;18;Solenopsis;1;present;
2019;6;10;0;Symphyla;3;present;
2019;6;10;0;Solenopsis;1;co-occurs;root growth region
2019;6;10;0;Rhabdura;1;present;
2019;6;10;0;Collembola;1;present;
2019;6;10;0;Collembola;1;co-occurs;root mature region
2019;6;10;6;Symphyla;1;co-occurs;root growth region
2019;6;10;6;Rhabdura;1;present;
2019;6;10;6;Polydesmida;1;co-occurs;root growth region
2019;6;10;12;Lithobiomorpha;1;present;
2019;6;10;12;Solenopsis;1;co-occurs;root growth region
2019;6;10;12;Enchytraeidae;1;co-occurs;root growth region
2019;6;10;12;Rhabdura;1;co-occurs;root mature region
2019;6;10;12;Solenopsis;2;present;
2019;6;10;12;Rhabdura;1;present;
2019;6;10;18;Solenopsis;1;co-occurs;root mature region
2019;6;10;18;Rhabdura;1;present;
2019;6;10;18;Collembola;1;present;
2019;6;10;18;Solenopsis;2;co-occurs;root growth region
2019;6;10;18;Enchytraeidae;1;present;
2019;6;11;0;Solenopsis;3;co-occurs;root growth region
2019;6;11;0;Rhabdura;2;present;
2019;6;11;0;Acari;1;present;
2019;6;11;6;Rhabdura;2;present;
2019;6;11;6;Symphyla;1;present;
2019;6;11;6;Acari;1;present;
2019;6;11;6;Symphyla;1;co-occurs;root growth region
2019;6;11;6;Solenopsis;4;co-occurs;root growth region
2019;6;11;6;Solenopsis;1;co-occurs;Aphidoidea
2019;6;11;6;Aphidoidea;1;co-occurs;root growth region
2019;6;11;12;Rhabdura;1;present;
2019;6;11;12;Symphyla;1;present;
2019;6;11;12;Solenopsis;4;co-occurs;root growth region
2019;6;11;18;Solenopsis;7;co-occurs;root growth region
2019;6;11;18;Symphyla;1;co-occurs;root mature region
2019;6;12;0;Polydesmida;1;present;
2019;6;12;0;Rhabdura;1;present;
2019;6;12;0;Collembola;1;present;
2019;6;12;0;Symphyla;1;co-occurs;root mature region
2019;6;12;0;Enchytraeidae;1;co-occurs;root growth region
2019;6;12;0;Solenopsis;5;co-occurs;root growth region
2019;6;12;6;Enchytraeidae;2;co-occurs;root growth region
2019;6;12;6;Solenopsis;3;co-occurs;root growth region
2019;6;12;6;Rhabdura;2;co-occurs;root mature region
2019;6;12;6;Rhabdura;2;present;
2019;6;12;12;Rhabdura;2;present;
2019;6;12;12;Collembola;1;present;
2019;6;12;12;Rhabdura;1;co-occurs;root mature region
2019;6;12;12;Acari;1;co-occurs;root growth region
2019;6;12;12;Solenopsis;3;co-occurs;root growth region
2019;6;12;18;Aphidoidea;1;co-occurs;root growth region
2019;6;12;18;Solenopsis;2;co-occurs;Aphidoidea
2019;6;12;18;Rhabdura;1;co-occurs;hypha
2019;6;12;18;Rhabdura;1;co-occurs;root mature region
2019;6;12;18;Rhabdura;3;present;
2019;6;13;0;Rhabdura;3;present;
2019;6;13;0;Aphidoidea;1;co-occurs;root growth region
2019;6;13;0;Solenopsis;1;co-occurs;Aphidoidea
2019;6;13;6;Aphidoidea;2;co-occurs;root growth region
2019;6;13;6;Solenopsis;1;co-occurs;Aphidoidea
2019;6;13;6;Solenopsis;1;co-occurs;root growth region
2019;6;13;6;Rhabdura;2;present;
2019;6;13;12;Rhabdura;3;present;
2019;6;13;12;Acari;1;co-occurs;root mature region
2019;6;13;12;Solenopsis;3;co-occurs;root mature region
2019;6;13;12;Aphidoidea;1;co-occurs;root mature region
2019;6;13;18;Aphidoidea;1;co-occurs;root mature region
2019;6;13;18;Solenopsis;1;co-occurs;root mature region
2019;6;13;18;Rhabdura;1;present;
2019;6;14;0;Rhabdura;1;present;
2019;6;14;0;Aphidoidea;1;co-occurs;root mature region
2019;6;14;0;Solenopsis;1;co-occurs;root mature region
2019;6;14;6;Aphidoidea;1;co-occurs;root mature region
2019;6;14;6;Solenopsis;1;co-occurs;root mature region
2019;6;14;6;Acari;1;co-occurs;root growth region
2019;6;14;6;Rhabdura;1;co-occurs;root mature region
2019;6;14;6;Polydesmida;1;present;
2019;6;14;6;Rhabdura;5;present;
2019;6;14;6;Acari;1;present;
2019;6;14;6;Collembola;1;present;
2019;6;14;12;Rhabdura;1;present;
2019;6;14;12;Acari;2;present;
2019;6;14;12;Rhabdura;2;co-occurs;root mature region
2019;6;14;12;Aphidoidea;1;co-occurs;root mature region
2019;6;14;12;Solenopsis;1;co-occurs;root mature region
2019;6;14;18;Aphidoidea;1;co-occurs;root mature region
2019;6;14;18;Solenopsis;1;co-occurs;root mature region
2019;6;14;18;Rhabdura;1;co-occurs;root mature region
2019;6;14;18;unknown;1;present;
2019;6;14;18;Rhabdura;2;present;
2019;6;15;0;Symphyla;1;co-occurs;root growth region
2019;6;15;0;Rhabdura;1;co-occurs;root mature region
2019;6;15;0;Solenopsis;1;co-occurs;root mature region
2019;6;15;0;Aphidoidea;1;co-occurs;root mature region
2019;6;15;0;Enchytraeidae;1;co-occurs;root mature region
2019;6;15;6;Symphyla;1;present;
2019;6;15;6;Rhabdura;1;co-occurs;root growth region
2019;6;15;6;Rhabdura;2;present;
2019;6;15;6;Solenopsis;1;co-occurs;root mature region
2019;6;15;6;Aphidoidea;1;co-occurs;root mature region
2019;6;15;12;Aphidoidea;1;co-occurs;root mature region
2019;6;15;12;Symphyla;1;present;
2019;6;15;12;Collembola;1;co-occurs;root mature region
2019;6;15;12;Symphyla;1;co-occurs;root growth region
2019;6;15;18;Rhabdura;1;co-occurs;root mature region
2019;6;15;18;Rhabdura;1;present;
2019;6;15;18;Aphidoidea;1;co-occurs;root mature region
2019;6;15;18;Solenopsis;1;co-occurs;root mature region
2019;6;15;18;Acari;1;co-occurs;root mature region
2019;6;16;0;Acari;1;present;
2019;6;16;0;Solenopsis;1;co-occurs;root mature region
2019;6;16;0;Geophilomorpha;1;co-occurs;root growth region
2019;6;16;0;Rhabdura;1;present;
2019;6;16;0;Rhabdura;1;co-occurs;root mature region
2019;6;16;0;Rhabdura;1;co-occurs;hypha
2019;6;16;6;Rhabdura;1;present;
